,"Date","Num","P. O. #","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Item","Open Balance","Inventory Site"
"Total AccsyBx-FAN-POC-545",,,,,,,,6,0,6,144.00,,144.00,
"Ant-RP_SMAM-WiFi-108MM",,,,,,,,,,,,,,
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-108MM  WiFi Antenna, Swivel type, Frequency 2.4/5.8 GHz, VSWR 2.0 : 1 Max., wit...","10/01/2025",20,0,20,100.00,"Accessory:Ant-RP_SMAM-WiFi-108MM",100.00,"WH01S-NTA"
,"09/30/2025","POD-251383",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-108MM  WiFi Antenna, Swivel type, Frequency 2.4/5.8 GHz, VSWR 2.0 : 1 Max., wit...","10/15/2025",20,0,20,100.00,"Accessory:Ant-RP_SMAM-WiFi-108MM",100.00,"WH01S-NTA"
"Total Ant-RP_SMAM-WiFi-108MM",,,,,,,,40,0,40,200.00,,200.00,
"Ant-RP_SMAM-WiFi-196MM1",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Neousys Technology Incorp.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","10/01/2025",2,0,2,10.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",10.00,"WH01S-NTA"
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/17/2025",40,0,40,200.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",200.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/17/2025",40,0,40,200.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",200.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/24/2025",40,0,40,200.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",200.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/17/2025",50,0,50,250.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",250.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-RP_SMAM-WiFi-196MM1  WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","09/24/2025",40,0,40,200.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1",200.00,"WH01S-NTA"
"Total Ant-RP_SMAM-WiFi-196MM1",,,,,,,,212,0,212,1060.00,,1060.00,
"Ant-SMAM-LTE",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",40,0,40,200.00,"Accessory:Ant-SMAM-LTE",200.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",40,0,40,200.00,"Accessory:Ant-SMAM-LTE",200.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/24/2025",40,0,40,200.00,"Accessory:Ant-SMAM-LTE",200.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/17/2025",50,0,50,250.00,"Accessory:Ant-SMAM-LTE",250.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Ant-SMAM-LTE  LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","09/24/2025",40,0,40,200.00,"Accessory:Ant-SMAM-LTE",200.00,"WH01S-NTA"
"Total Ant-SMAM-LTE",,,,,,,,210,0,210,1050.00,,1050.00,
"Cbl-DB9F-3DB9M-15CM2",,,,,,,,,,,,,,
,"07/25/2025","POD-251059","SO-20251032","Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","10/22/2025",25,0,25,250.00,"Accessory:Cbl-DB9F-3DB9M-15CM2",250.00,"WH01S-NTA"
,"07/25/2025","POD-251060",,"Automated Environments","Neousys Technology Incorp.","Cbl-DB9F-3DB9M-15CM2  1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000. Industrial Computer Acces...","11/19/2025",25,0,25,250.00,"Accessory:Cbl-DB9F-3DB9M-15CM2",250.00,"WH01S-NTA"
"Total Cbl-DB9F-3DB9M-15CM2",,,,,,,,50,0,50,500.00,,500.00,
"Cbl-IDC085F-DB9M-30CM",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-IDC085F-DB9M-30CM  COM Cable, Wafer 5P Female to DB9 Male w/Nut for Panel, Length:30CM.","10/01/2025",4,0,4,16.00,"Accessory:Cbl-IDC085F-DB9M-30CM",16.00,"WH01S-NTA"
"Total Cbl-IDC085F-DB9M-30CM",,,,,,,,4,0,4,16.00,,16.00,
"Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",20,0,20,240.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM",240.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",20,0,20,240.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM",240.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/24/2025",20,0,20,240.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM",240.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/17/2025",25,0,25,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM",300.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-M12A5F-OT2-Black-Red-Fuse-100CM  M12(5-pole-A-code Female) to 2P O terminal, w/FUSE, Length:...","09/24/2025",20,0,20,240.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM",240.00,"WH01S-NTA"
"Total Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,,105,0,105,1260.00,,1260.00,
"Cbl-M12A8M-2U2TA-180CM2",,,,,,,,,,,,,,
,"09/01/2025","POD-251251","SO-20251236","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12A8M-2U2TA-180CM2  Waterproof M12 (8-pole-A-coded) w/ copper shielding to 2xUSB 2.0 type A...","09/17/2025",4,0,4,40.00,"Accessory:Cbl-M12A8M-2U2TA-180CM2",40.00,"WH01S-NTA"
"Total Cbl-M12A8M-2U2TA-180CM2",,,,,,,,4,0,4,40.00,,40.00,
"Cbl-M12A8M-DB9F-180CM",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-M12A8M-DB9F-180CM  M12 A-Code 8P (male) to DB9 (female), Length: 180CM. Industrial computer ...","09/03/2025",1,0,1,15.00,"Accessory:Cbl-M12A8M-DB9F-180CM",15.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"Cbl-M12A8M-DB9F-180CM  M12 A-Code 8P (male) to DB9 (female), Length: 180CM. Industrial computer ...","09/10/2025",2,0,2,30.00,"Accessory:Cbl-M12A8M-DB9F-180CM",30.00,"WH01S-NTA"
"Total Cbl-M12A8M-DB9F-180CM",,,,,,,,3,0,3,45.00,,45.00,
"Cbl-M12A8M-DB9M-180CM",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-M12A8M-DB9M-180CM  M12 A-Code 8P (male) to DB9 (male), Length: 180CM. Industrial computer ac...","09/03/2025",2,0,2,24.00,"Accessory:Cbl-M12A8M-DB9M-180CM",24.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"Cbl-M12A8M-DB9M-180CM  M12 A-Code 8P (male) to DB9 (male), Length: 180CM. Industrial computer ac...","09/10/2025",4,0,4,48.00,"Accessory:Cbl-M12A8M-DB9M-180CM",48.00,"WH01S-NTA"
"Total Cbl-M12A8M-DB9M-180CM",,,,,,,,6,0,6,72.00,,72.00,
"Cbl-M12L5F-CordEnd5-180CM",,,,,,,,,,,,,,
,"09/01/2025","POD-251251","SO-20251236","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12L5F-CordEnd5-180CM  M12 L-Code 5P(FML) to Cord End Terminal 5P, Length: 1.8M.","09/17/2025",4,0,4,40.00,"Accessory:Cbl-M12L5F-CordEnd5-180CM",40.00,"WH01S-NTA"
,"09/25/2025","POD-251368",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Cbl-M12L5F-CordEnd5-180CM  M12 L-Code 5P(FML) to Cord End Terminal 5P, Length: 1.8M.","10/08/2025",2,0,2,20.00,"Accessory:Cbl-M12L5F-CordEnd5-180CM",20.00,"WH01S-NTA"
"Total Cbl-M12L5F-CordEnd5-180CM",,,,,,,,6,0,6,60.00,,60.00,
"Cbl-M12S4F-CordEnd4-180CM",,,,,,,,,,,,,,
,"09/25/2025","POD-251368",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Cbl-M12S4F-CordEnd4-180CM  M12 S-Code Female 4P to Cord End Terminal 4P, Length:180cm.","10/08/2025",3,0,3,39.00,"Accessory:Cbl-M12S4F-CordEnd4-180CM",39.00,"WH01S-NTA"
"Total Cbl-M12S4F-CordEnd4-180CM",,,,,,,,3,0,3,39.00,,39.00,
"Cbl-M12S4F-OW4-180CM1",,,,,,,,,,,,,,
,"05/05/2025","POD-250648","SO-20250640","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","10/01/2025",10,0,10,100.00,"Accessory:Cbl-M12S4F-OW4-180CM1",100.00,"WH01S-NTA"
,"05/05/2025","POD-250649","SO-20250641","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","11/05/2025",10,0,10,100.00,"Accessory:Cbl-M12S4F-OW4-180CM1",100.00,"WH01S-NTA"
,"05/05/2025","POD-250650","SO-20250642","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","12/03/2025",10,0,10,100.00,"Accessory:Cbl-M12S4F-OW4-180CM1",100.00,"WH01S-NTA"
"Total Cbl-M12S4F-OW4-180CM1",,,,,,,,30,0,30,300.00,,300.00,
"Cbl-M12X8M-RJ45-CAT6A-500CM",,,,,,,,,,,,,,
,"09/01/2025","POD-251251","SO-20251236","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12X8M-RJ45-CAT6A-500CM  M12( 8-pole-X-coded) to RJ45, CAT6A, Length : 500CM. Industrial com...","09/17/2025",8,0,8,256.00,"Accessory:Cbl-M12X8M-RJ45-CAT6A-500CM",256.00,"WH01S-NTA"
"Total Cbl-M12X8M-RJ45-CAT6A-500CM",,,,,,,,8,0,8,256.00,,256.00,
"Cbl-MHF-RP_SMAF-30CM",,,,,,,,,,,,,,
,"09/23/2025","POD-251359",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Cbl-MHF-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF(F) to RP SMA (F), 1.13 coaxial cable, lengt...","10/01/2025",25,0,25,75.00,"Accessory:Cbl-MHF-RP_SMAF-30CM",75.00,"WH01S-NTA"
"Total Cbl-MHF-RP_SMAF-30CM",,,,,,,,25,0,25,75.00,,75.00,
"Cbl-MHF4-RP_SMAF-15CM",,,,,,,,,,,,,,
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-15CM  Wifi Internal Cable, IPEX MHF4(Female) to RP SMA(Female), for M.2 module,...","10/01/2025",20,0,20,60.00,"Accessory:Cbl-MHF4-RP_SMAF-15CM",60.00,"WH01S-NTA"
"Total Cbl-MHF4-RP_SMAF-15CM",,,,,,,,20,0,20,60.00,,60.00,
"Cbl-MHF4-RP_SMAF-30CM",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","10/01/2025",2,0,2,6.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",6.00,"WH01S-NTA"
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",40,0,40,120.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",120.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",40,0,40,120.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",120.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/24/2025",40,0,40,120.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",120.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",50,0,50,150.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",150.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/24/2025",40,0,40,120.00,"Accessory:Cbl-MHF4-RP_SMAF-30CM",120.00,"WH01S-NTA"
"Total Cbl-MHF4-RP_SMAF-30CM",,,,,,,,212,0,212,636.00,,636.00,
"Cbl-MHF4-SMAF-30CM",,,,,,,,,,,,,,
,"08/19/2025","POD-251180","SO-20251175","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",60,0,60,180.00,"Accessory:Cbl-MHF4-SMAF-30CM",180.00,"WH01S-NTA"
,"08/19/2025","POD-251181","SO-20251176","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",60,0,60,180.00,"Accessory:Cbl-MHF4-SMAF-30CM",180.00,"WH01S-NTA"
,"08/19/2025","POD-251182","SO-20251177","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/24/2025",60,0,60,180.00,"Accessory:Cbl-MHF4-SMAF-30CM",180.00,"WH01S-NTA"
,"08/19/2025","POD-251183","SO-20251178","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",75,0,75,225.00,"Accessory:Cbl-MHF4-SMAF-30CM",225.00,"WH01S-NTA"
,"08/19/2025","POD-251184","SO-20251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/24/2025",60,0,60,180.00,"Accessory:Cbl-MHF4-SMAF-30CM",180.00,"WH01S-NTA"
"Total Cbl-MHF4-SMAF-30CM",,,,,,,,315,0,315,945.00,,945.00,
"Cbl-S68M-S68M-100CM",,,,,,,,,,,,,,
,"07/25/2025","POD-251062","SO-20251044","Cognex Corporation","Neousys Technology Incorp.","Cbl-S68M-S68M-100CM  SCSI-68 (Male) to SCSI-68M (Male) cable, for MezIO DIO card and TB-10, Leng...","12/24/2025",5,0,5,110.00,"Accessory:Cbl-S68M-S68M-100CM",110.00,"WH01S-NTA"
"Total Cbl-S68M-S68M-100CM",,,,,,,,5,0,5,110.00,,110.00,
"Cbl-W10F-2M12A8F-40CM-IK-COM",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-W10F-2M12A8F-40CM-IK-COM  Wafer 10P to M12 A-Code 8P (Female) for Innodisk COM port module, ...","09/03/2025",1,0,1,19.00,"Accessory:Cbl-W10F-2M12A8F-40CM-IK-COM",19.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"Cbl-W10F-2M12A8F-40CM-IK-COM  Wafer 10P to M12 A-Code 8P (Female) for Innodisk COM port module, ...","09/10/2025",2,0,2,38.00,"Accessory:Cbl-W10F-2M12A8F-40CM-IK-COM",38.00,"WH01S-NTA"
"Total Cbl-W10F-2M12A8F-40CM-IK-COM",,,,,,,,3,0,3,57.00,,57.00,
"Cbl-W20F-2M12A10F-40CM-IK-COM",,,,,,,,,,,,,,
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","Cbl-W20F-2M12A10F-40CM-IK-COM  M12 internal cable from EMP2-X203-W1 to rear panel, included two ...","10/08/2025",3,0,3,99.00,"Accessory:Cbl-W20F-2M12A10F-40CM-IK-COM",99.00,"WH01S-NTA"
"Total Cbl-W20F-2M12A10F-40CM-IK-COM",,,,,,,,3,0,3,99.00,,99.00,
"Cbl-W20F-M12A10F-40CM-IK-COM",,,,,,,,,,,,,,
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","Cbl-W20F-M12A10F-40CM-IK-COM  Wafer 20P to M12 A-Code 10P (Female) for Innodisk COM port module,...","10/29/2025",1,0,1,12.00,"Accessory:Cbl-W20F-M12A10F-40CM-IK-COM",12.00,"WH01S-NTA"
"Total Cbl-W20F-M12A10F-40CM-IK-COM",,,,,,,,1,0,1,12.00,,12.00,
"Cbl-W40M-M12A8F-40CM-IK-DIO1",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/03/2025",1,0,1,8.00,"Accessory:Cbl-W40M-M12A8F-40CM-IK-DIO1",8.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/10/2025",2,0,2,16.00,"Accessory:Cbl-W40M-M12A8F-40CM-IK-DIO1",16.00,"WH01S-NTA"
"Total Cbl-W40M-M12A8F-40CM-IK-DIO1",,,,,,,,3,0,3,24.00,,24.00,
"Cbl-W5M-M12A5F-40CM-PK-CANFD-TP",,,,,,,,,,,,,,
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","Cbl-W5M-M12A5F-40CM-PK-CANFD-TP  Wafer 5P to M12 A-Code 5P (Female) of twisted pair for Peak CAN...","10/08/2025",12,0,12,192.00,"Accessory:Cbl-W5M-M12A5F-40CM-PK-CANFD-TP",192.00,"WH01S-NTA"
"Total Cbl-W5M-M12A5F-40CM-PK-CANFD-TP",,,,,,,,12,0,12,192.00,,192.00,
"Cbl-W5M-M12A5M-40CM-PK-CANFD-TP",,,,,,,,,,,,,,
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","Cbl-W5M-M12A5M-40CM-PK-CANFD-TP  Wafer 5P to M12 A-Code 5P (Male) of twisted pair for Peak CAN-F...","10/29/2025",4,0,4,64.00,"Accessory:Cbl-W5M-M12A5M-40CM-PK-CANFD-TP",64.00,"WH01S-NTA"
"Total Cbl-W5M-M12A5M-40CM-PK-CANFD-TP",,,,,,,,4,0,4,64.00,,64.00,
"DtC-M12-WP",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","09/03/2025",3,0,3,6.00,"Accessory:DtC-M12-WP",6.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"DtC-M12-WP  M12 waterproof cover.","09/10/2025",6,0,6,12.00,"Accessory:DtC-M12-WP",12.00,"WH01S-NTA"
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","10/08/2025",18,0,18,36.00,"Accessory:DtC-M12-WP",36.00,"WH01S-NTA"
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","10/29/2025",1,0,1,2.00,"Accessory:DtC-M12-WP",2.00,"WH01S-NTA"
"Total DtC-M12-WP",,,,,,,,28,0,28,56.00,,56.00,
"DtC-M12M-WP",,,,,,,,,,,,,,
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","DtC-M12M-WP  M12 male waterproof cover.","10/29/2025",4,0,4,12.00,"Accessory:DtC-M12M-WP",12.00,"WH01S-NTA"
"Total DtC-M12M-WP",,,,,,,,4,0,4,12.00,,12.00,
"Gpubr-Nuvo9160-01",,,,,,,,,,,,,,
