Document No.,Line No.,Sell-to Customer Name,External Document No.,Customer PO No.,No.,Ordering Model,Customer Ordering Model,Quantity,Cross-Reference No.,Customer Expectations Date,Produce Expected Finish Date,OP Estimated Shipping Date,Actual Completion Date,Actual Shipping Day,Description,Customer Ordering Desc.,Description 2,Model Name,Unit of Measure,Outstanding Quantity,Loan To Sales,Project Code,Shipment Date,Sales Promised Delivery Date,Create Prod Exp Completion,LastMod Prod Exp Completion,Remark,Remark2,EA Remark,PM Name,Item Status,HeaderStatus,Production Order No.,Starting Date,Material Receipt Date (PO),Orderig Description,Currency Code,Selling Price Excl. VAT,Amount,Amount Including VAT,Outstanding Amount (LCY),Ship-to Name,Customer Item No.,Qty on Purch. Order,Qty on Sales Order,Inventory,Qty on Componet Line,OP Lead Time,ReleasedDateOrigin,Warehouse Shipment No.,Assemble Option,Type,Location Code,Salesperson Code
SO25050036,15000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,S51-SL1708FF-003,SEMIL-1708-i7OCG9-FF04,SEMIL-1708-i7OCG9-FF04,10.,,2025/12/17,2025/12/15,2025/12/17,,,"[DEF]SEMIL-1708-FF, including i7-9700TE, DDR4-16GB","SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN,[DEF]SEMIL-1708-FF,PCS,10.,FALSE,,2025/12/17,2025/12/17,15/07/25 10:07:45,25/08/25 10:28:38,CR:8/25通知延後到12/17出貨. 5/21合併出貨10/30→11/5.,8/25:完工10/28->12/15(客戶延到12/17出貨),,TingYu Lai 賴婷妤,DEF,Released,WA25050181,2025/12/8,,"SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",USD,"2,149.00","21,490.00","21,490.00","661,892.00","Neousys Technology America, Inc.",,0.,30.,0.,0.,226,2025/5/5,,No,Item,WH22,T048
SO25050036,20000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/12/17,2025/12/15,2025/12/17,,,Customer Services,To產線/包裝：請協助貼上客製標籤，詳見SOP,,Customer Services,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:08:59,25/08/25 10:28:38,,,,,,Released,,,2025/12/8,To產線/包裝：請協助貼上客製標籤，詳見SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,226,2025/5/5,,No,Resource,WH02,T048
SO25050036,30000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/12/17,2025/12/15,2025/12/17,,,Customer Services,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,,Customer Services,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:08:59,25/08/25 10:28:38,,,,,,Released,,,2025/12/8,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,226,2025/5/5,,No,Resource,WH02,T048
SO25050036,40000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/12/17,2025/12/15,2025/12/17,,,Customer Services,To產線：請協助將IGN模式調整至2,,Customer Services,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:09:00,25/08/25 10:28:39,,,,,,Released,,,2025/12/8,To產線：請協助將IGN模式調整至2,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,226,2025/5/5,,No,Resource,WH02,T048
SO25050036,50000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/12/17,2025/12/15,2025/12/17,,,Customer Services,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,,Customer Services,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:09:00,25/08/25 10:28:39,,,,,,Released,,,2025/12/8,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,226,2025/5/5,,No,Resource,WH02,T048
SO25050036,60000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,395-M1342189-004,Cbl-M12S4F-OW4-180CM1,Cbl-M12S4F-OW4-180CM1,10.,,2025/12/17,2025/12/15,2025/12/17,,,"[NR]Cable 180cm, M12 S-code 4P Female to Cord End","Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳","Terminal 4P, w/core*2, 18+20AWG, -20°C to +80°C, 亞",[NR]Cable M12 S-code 4P FML to Cord End Terminal 4P 180cm,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:09:00,25/08/25 10:28:39,CR:8/25通知延後到12/17出貨. 5/21合併出貨10/30→11/5.,8/25:完工10/28->12/15(客戶延到12/17出貨),,,NR,Released,,,2025/12/8,"Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳",USD,10.00,100.00,100.00,"3,080.00","Neousys Technology America, Inc.",,0.,30.,30.,2.,226,2025/5/5,,No,Item,WH22,T048
SO25050036,70000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250641,POD-250649,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2025/12/17,2025/12/15,2025/12/17,,,Customer Services,To產線：請將機器與線材配對包裝,,Customer Services,PCS,10.,FALSE,,2025/12/17,2025/12/17,07/05/25 15:09:01,25/08/25 10:28:42,,,,,,Released,,,2025/12/8,To產線：請將機器與線材配對包裝,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,226,2025/5/5,,No,Resource,WH02,T048
SO25050037,15000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,S51-SL1708FF-003,SEMIL-1708-i7OCG9-FF04,SEMIL-1708-i7OCG9-FF04,10.,,2026/1/14,2026/1/12,2026/1/14,,,"[DEF]SEMIL-1708-FF, including i7-9700TE, DDR4-16GB","SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN,[DEF]SEMIL-1708-FF,PCS,10.,FALSE,,2026/1/14,2026/1/14,15/07/25 10:07:53,25/08/25 10:30:05,CR:8/25通知延後到2026/1/14出貨. 5/21合併出貨11/28→12/3.,8/25:完工11/26->26/1/12(客戶延到26/1/14出貨),,TingYu Lai 賴婷妤,DEF,Released,WA25050182,2026/1/5,,"SEMIL-1708-FF, including i7-9700TE, DDR4-16GB-32-SM and M.280-SSD-1TB-PCIe44-TLC5-PN",USD,"2,149.00","21,490.00","21,490.00","661,892.00","Neousys Technology America, Inc.",,0.,30.,0.,0.,254,2025/5/5,,No,Item,WH22,T048
SO25050037,20000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2026/1/14,2026/1/12,2026/1/14,,,Customer Services,To產線/包裝：請協助貼上客製標籤，詳見SOP,,Customer Services,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:10,25/08/25 10:30:14,,,,,,Released,,,2026/1/5,To產線/包裝：請協助貼上客製標籤，詳見SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,254,2025/5/5,,No,Resource,WH02,T048
SO25050037,30000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2026/1/14,2026/1/12,2026/1/14,,,Customer Services,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,,Customer Services,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:10,25/08/25 10:30:14,,,,,,Released,,,2026/1/5,To產線：須執行BIOS設定，請見SEMIL-1708-FF組裝SOP,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,254,2025/5/5,,No,Resource,WH02,T048
SO25050037,40000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2026/1/14,2026/1/12,2026/1/14,,,Customer Services,To產線：請協助將IGN模式調整至2,,Customer Services,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:11,25/08/25 10:30:15,,,,,,Released,,,2026/1/5,To產線：請協助將IGN模式調整至2,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,254,2025/5/5,,No,Resource,WH02,T048
SO25050037,50000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2026/1/14,2026/1/12,2026/1/14,,,Customer Services,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,,Customer Services,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:11,25/08/25 10:30:15,,,,,,Released,,,2026/1/5,To產線：請協助安裝Ubuntu 22.04 Server版本，並使用客供ISO檔,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,254,2025/5/5,,No,Resource,WH02,T048
SO25050037,60000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,395-M1342189-004,Cbl-M12S4F-OW4-180CM1,Cbl-M12S4F-OW4-180CM1,10.,,2026/1/14,2026/1/12,2026/1/14,,,"[NR]Cable 180cm, M12 S-code 4P Female to Cord End","Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳","Terminal 4P, w/core*2, 18+20AWG, -20°C to +80°C, 亞",[NR]Cable M12 S-code 4P FML to Cord End Terminal 4P 180cm,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:11,25/08/25 10:30:15,CR:8/25通知延後到2026/1/14出貨. 5/21合併出貨11/28→12/3.,8/25:完工11/26->26/1/12(客戶延到26/1/14出貨),,,NR,Released,,,2026/1/5,"Cable 180cm, M12 S-Code Female 4P to Open Wire 4P, 亞佳",USD,10.00,100.00,100.00,"3,080.00","Neousys Technology America, Inc.",,0.,30.,30.,2.,254,2025/5/5,,No,Item,WH22,T048
SO25050037,70000,"Neousys Technology America, Inc.",NTA_FIREFLY_SO-20250642,POD-250650,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,10.,,2026/1/14,2026/1/12,2026/1/14,,,Customer Services,To產線：請將機器與線材配對包裝,,Customer Services,PCS,10.,FALSE,,2026/1/14,2026/1/14,07/05/25 15:09:12,25/08/25 10:30:16,,,,,,Released,,,2026/1/5,To產線：請將機器與線材配對包裝,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,254,2025/5/5,,No,Resource,WH02,T048
SO25070419,10000,"Neousys Technology America, Inc.",NTA_AEI_(4-3),POD-251059,S60-UC033000-001,POC-330-6001,POC-330-AEI01-100,25.,,2026/1/7,2025/12/10,2026/1/7,,,"POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64","POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64GB-MLCWT-IK, Win10IoT19-Entry","GB-MLCWT-IK, Win10IoT19-Entry",POC-330-6001,PCS,25.,FALSE,,2025/12/10,2026/1/7,06/08/25 16:49:56,07/10/25 10:43:47,CR:10/7通知10/22→2026/1/7出貨.,開工日暫壓，7/31 待採回 302-00100252-000|302-00100253-000|302-00100254-000|505-B1223342-021|507-M1206421-041|550-W0147000-001|800-UC033000-A54,,Neil Liu 劉仲軒,,Released,WA25070915,2025/12/8,,"POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64GB-MLCWT-IK, Win10IoT19-Entry",USD,515.00,"12,875.00","12,875.00","378,461.00","Neousys Technology America, Inc.",,0.,50.,0.,0.,163,2025/7/28,,No,Item,WH22,T048
SO25070419,20000,"Neousys Technology America, Inc.",NTA_AEI_(4-3),POD-251059,393-D1131150-134,Cbl-DB9F-3DB9M-15CM2,Cbl-DB9F-3DB9M-15CM2,25.,,2026/1/7,2025/12/10,2026/1/7,,,"Cable 15cm, DB9 Female w/Screw to 3x DB9 Male, 28A","1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000 series, Length: 15CM","WG, w/Red Dot, w/numbered stickers(A/B/C), -20°C t",Cable DB9 FML to 3x DB9 Male 15cm,PCS,25.,FALSE,,2025/12/10,2026/1/7,06/08/25 16:49:58,07/10/25 10:43:48,CR:10/7通知10/22→2026/1/7出貨.,客戶期望在十月OK,,,,Released,,,2025/12/8,"1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000 series, Length: 15CM",USD,10.00,250.00,250.00,"7,349.00","Neousys Technology America, Inc.",,100.,110.,197.,0.,163,2025/7/28,,No,Item,WH22,T048
SO25070419,30000,"Neousys Technology America, Inc.",NTA_AEI_(4-3),POD-251059,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,25.,,2026/1/7,2025/12/10,2026/1/7,,,Customer Services,To產線：請不要安裝系統，但要貼附license,,Customer Services,PCS,25.,FALSE,,2025/12/10,2026/1/7,06/08/25 16:49:58,07/10/25 10:43:48,,,,,,Released,,,2025/12/8,To產線：請不要安裝系統，但要貼附license,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,163,2025/7/28,,No,Resource,WH02,T048
SO25070419,40000,"Neousys Technology America, Inc.",NTA_AEI_(4-3),POD-251059,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,25.,,2026/1/7,2025/12/10,2026/1/7,,,Customer Services,To產線：請協助將機器與393-D1131150-134配對包裝,,Customer Services,PCS,25.,FALSE,,2025/12/10,2026/1/7,06/08/25 16:49:59,07/10/25 10:43:48,,,,,,Released,,,2025/12/8,To產線：請協助將機器與393-D1131150-134配對包裝,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,163,2025/7/28,,No,Resource,WH02,T048
SO25070420,10000,"Neousys Technology America, Inc.",NTA_AEI_(4-4),POD-251060,S60-UC033000-001,POC-330-6001,POC-330-AEI01-100,25.,,2026/2/4,2026/2/2,2026/2/4,,,"POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64","POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64GB-MLCWT-IK, Win10IoT19-Entry","GB-MLCWT-IK, Win10IoT19-Entry",POC-330-6001,PCS,25.,FALSE,,2026/2/2,2026/2/4,06/08/25 16:50:08,07/10/25 10:44:31,CR:10/7通知11/19→2026/2/4出貨.,開工日暫壓，7/31 待採回 302-00100252-000|302-00100253-000|302-00100254-000|505-B1223342-021|507-M1206421-041|550-W0147000-001|800-UC033000-A54,,Neil Liu 劉仲軒,,Released,WA25070916,2026/1/29,,"POC-330, including  DDR3L-4GB-WT18-DL1, mSATAHS-64GB-MLCWT-IK, Win10IoT19-Entry",USD,515.00,"12,875.00","12,875.00","378,461.00","Neousys Technology America, Inc.",,0.,50.,0.,0.,191,2025/7/28,,No,Item,WH22,T048
SO25070420,20000,"Neousys Technology America, Inc.",NTA_AEI_(4-4),POD-251060,393-D1131150-134,Cbl-DB9F-3DB9M-15CM2,Cbl-DB9F-3DB9M-15CM2,25.,,2026/2/4,2026/2/2,2026/2/4,,,"Cable 15cm, DB9 Female w/Screw to 3x DB9 Male, 28A","1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000 series, Length: 15CM","WG, w/Red Dot, w/numbered stickers(A/B/C), -20°C t",Cable DB9 FML to 3x DB9 Male 15cm,PCS,25.,FALSE,,2026/2/2,2026/2/4,06/08/25 16:50:09,07/10/25 10:44:32,CR:10/7通知11/19→2026/2/4出貨.,客戶期望在十一月OK,,,,Released,,,2026/1/29,"1x DB9 (Female) to 3x DB9 (Male), for Nuvo-6000 series, Length: 15CM",USD,10.00,250.00,250.00,"7,349.00","Neousys Technology America, Inc.",,100.,110.,197.,0.,191,2025/7/28,,No,Item,WH22,T048
SO25070420,30000,"Neousys Technology America, Inc.",NTA_AEI_(4-4),POD-251060,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,25.,,2026/2/4,2026/2/2,2026/2/4,,,Customer Services,To產線：請不要安裝系統，但要貼附license,,Customer Services,PCS,25.,FALSE,,2026/2/2,2026/2/4,06/08/25 16:50:09,07/10/25 10:44:32,,,,,,Released,,,2026/1/29,To產線：請不要安裝系統，但要貼附license,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,191,2025/7/28,,No,Resource,WH02,T048
SO25070420,40000,"Neousys Technology America, Inc.",NTA_AEI_(4-4),POD-251060,R10Z,CUSTOMER SERVICES,CUSTOMER SERVICES,25.,,2026/2/4,2026/2/2,2026/2/4,,,Customer Services,To產線：請協助將機器與393-D1131150-134配對包裝,,Customer Services,PCS,25.,FALSE,,2026/2/2,2026/2/4,06/08/25 16:50:10,07/10/25 10:44:33,,,,,,Released,,,2026/1/29,To產線：請協助將機器與393-D1131150-134配對包裝,USD,0.00,0.00,0.00,0.00,"Neousys Technology America, Inc.",,0.,0.,0.,0.,191,2025/7/28,,No,Resource,WH02,T048
SO25070448,10000,"Neousys Technology America, Inc.",P96577,POD-251047,95D-VT0551GL-011,POC-551VTC-GLE(EA),POC-551VTC-GLE150-FP,24.,,2025/11/21,2025/11/19,2025/11/21,,,[EA]AMD Ryzen™ V1000 Ultra-compact In-vehicle Cont,"AMD Ryzen™ V1000 Ultra-compact In-vehicle Controller with PoE+, DIO and Isolated CAN bus.","roller with PoE+, DIO and Isolated CAN bus.",[EA]POC-551VTC-GLE,PCS,24.,FALSE,,2025/11/21,2025/11/21,01/08/25 09:25:08,,,,,Bonnie Lin 林雅茹,EA2,Released,WA25070939,2025/11/17,,"AMD Ryzen™ V1000 Ultra-compact In-vehicle Controller with PoE+, DIO and Isolated CAN bus.",USD,696.00,"16,704.00","16,704.00","491,599.00",COAST Automation,,0.,53.,0.,0.,116,2025/7/28,,No,Item,WH22,T048
SO25070448,20000,"Neousys Technology America, Inc.",P96577,POD-251047,93S-AB000105-000,AccsyBx-6AntiVG-POC-551VTC,AccsyBx-6AntiVG-POC-551VTC,24.,,2025/11/21,2025/11/19,2025/11/21,,,Accessory box kit including Anti-Vibrate Grommet*6,"Accessory box kit including Anti-Vibrate Grommet*6,Screw*6 and pizza box for POC-551VTC",",Screw*6 and pizza box for POC-551VTC",AccsyBx-6AntiVG-POC-551VTC,PCS,24.,FALSE,,2025/11/21,2025/11/21,01/08/25 09:45:33,,,,,Jeffrey Wang 王俊鍵,,Released,WA25070940,2025/11/17,,"Accessory box kit including Anti-Vibrate Grommet*6,Screw*6 and pizza box for POC-551VTC",USD,6.00,144.00,144.00,"4,238.00",COAST Automation,,0.,53.,0.,0.,116,2025/7/28,,No,Item,WH22,T048
